In,PunchCode,PunchDate,Hours,Weekday
397,OUT,4/9/2020,960,Thursday
398,MAEL,4/9/2020,0,Thursday
399,MEAL,4/9/2020,0,Thursday
400,INN,4/9/2020,480,Thursday
401,OUT,4/8/2020,960,Wednesday
402,MAEL,4/8/2020,0,Wednesday
403,MEAL,4/8/2020,0,Wednesday
404,INN,4/8/2020,480,Wednesday
405,OUT,4/7/2020,960,Tuesday
406,MAEL,4/7/2020,0,Tuesday
407,MEAL,4/7/2020,0,Tuesday
408,INN,4/7/2020,480,Tuesday
409,OUT,4/6/2020,960,Monday
410,MAEL,4/6/2020,0,Monday
411,MEAL,4/6/2020,0,Monday
412,INN,4/6/2020,480,Monday
413,OUT,4/4/2020,0,Saturday
414,MAEL,4/4/2020,0,Saturday
415,MEAL,4/4/2020,0,Saturday
416,INN,4/4/2020,0,Saturday
417,OUT,4/3/2020,966,Friday
418,MAEL,4/3/2020,0,Friday
419,MEAL,4/3/2020,0,Friday
420,INN,4/3/2020,538,Friday
421,OUT,4/2/2020,960,Thursday
422,MAEL,4/2/2020,0,Thursday
423,MEAL,4/2/2020,0,Thursday
424,INN,4/2/2020,480,Thursday
425,OUT,4/1/2020,977,Wednesday
426,MAEL,4/1/2020,0,Wednesday
427,MEAL,4/1/2020,0,Wednesday
428,INN,4/1/2020,541,Wednesday
429,OUT,3/31/2020,975,Tuesday
430,MAEL,3/31/2020,0,Tuesday
431,MEAL,3/31/2020,0,Tuesday
432,INN,3/31/2020,480,Tuesday
433,OUT,3/30/2020,975,Monday
434,MAEL,3/30/2020,0,Monday
435,MEAL,3/30/2020,0,Monday
436,INN,3/30/2020,541,Monday
437,OUT,3/28/2020,780,Saturday
438,MAEL,3/28/2020,0,Saturday
439,MEAL,3/28/2020,0,Saturday
440,INN,3/28/2020,553,Saturday
441,OUT,3/27/2020,960,Friday
442,MAEL,3/27/2020,0,Friday
443,MEAL,3/27/2020,0,Friday
444,INN,3/27/2020,480,Friday
445,OUT,3/26/2020,970,Thursday
446,MAEL,3/26/2020,0,Thursday
447,MEAL,3/26/2020,0,Thursday
448,INN,3/26/2020,543,Thursday
449,OUT,3/25/2020,960,Wednesday
450,MAEL,3/25/2020,0,Wednesday
451,MEAL,3/25/2020,0,Wednesday
452,INN,3/25/2020,480,Wednesday
453,OUT,3/24/2020,973,Tuesday
454,MAEL,3/24/2020,0,Tuesday
455,MEAL,3/24/2020,0,Tuesday
456,INN,3/24/2020,540,Tuesday
457,OUT,3/23/2020,830,Monday
458,MAEL,3/23/2020,0,Monday
459,MEAL,3/23/2020,0,Monday
460,INN,3/23/2020,480,Monday
461,OUT,3/21/2020,798,Saturday
462,MAEL,3/21/2020,0,Saturday
463,MEAL,3/21/2020,0,Saturday
464,INN,3/21/2020,524,Saturday
465,OUT,3/20/2020,960,Friday
466,MAEL,3/20/2020,0,Friday
467,MEAL,3/20/2020,0,Friday
468,INN,3/20/2020,480,Friday
469,OUT,3/19/2020,960,Thursday
470,MAEL,3/19/2020,0,Thursday
471,MEAL,3/19/2020,0,Thursday
472,INN,3/19/2020,480,Thursday
473,OUT,3/18/2020,0,Wednesday
474,MAEL,3/18/2020,0,Wednesday
475,MEAL,3/18/2020,0,Wednesday
476,INN,3/18/2020,0,Wednesday
477,OUT,3/17/2020,1002,Tuesday
478,MAEL,3/17/2020,864,Tuesday
479,MEAL,3/17/2020,834,Tuesday
480,INN,3/17/2020,501,Tuesday
481,OUT,3/16/2020,1006,Monday
482,MAEL,3/16/2020,848,Monday
483,MEAL,3/16/2020,818,Monday
484,INN,3/16/2020,494,Monday
485,OUT,3/14/2020,799,Saturday
486,MAEL,3/14/2020,0,Saturday
487,MEAL,3/14/2020,0,Saturday
488,INN,3/14/2020,530,Saturday
489,OUT,3/13/2020,960,Friday
490,MAEL,3/13/2020,0,Friday
491,MEAL,3/13/2020,0,Friday
492,INN,3/13/2020,480,Friday
493,OUT,3/12/2020,1088,Thursday
494,MAEL,3/12/2020,841,Thursday
495,MEAL,3/12/2020,809,Thursday
496,INN,3/12/2020,492,Thursday
497,OUT,3/11/2020,0,Wednesday
498,MAEL,3/11/2020,0,Wednesday
